ID,Subestación de Poder,Alimentador,Zona Mantenimiento,SED,Nombre,Kva Etdtrafo,Clientes,Netbilling,Electrodependientes,Ordenes SAP,Avisos SAP,Solicitudes Daño Individual,Solicitudes SEC SERNAC,Solicitudes DOM,Presentaciones,Interrupciones BT
57,Quintero,Quintero,Costa,20286,SED A Quintero Baquedano,150.00 kVA,197,,1,,,173,,30,3,9
58,San Antonio,Pesqueras,San Antonio,51042,PATRICIO LYNCH CUADRA CORTA,150.00 kVA,287,,,1,,174,,20,16,10
59,Las Vegas,Llay Llay,Los Andes,40389,Balmaceda Montt,150.00 kVA,183,,,2,2,42,,19,2,4
60,San Sebastián,Cartagena,San Antonio,50070,Chacabuco,150.00 kVA,151,,,,,75,,19,1,9
61,San Felipe,Palomar,Los Andes,40323,Puente Las Heras,150.00 kVA,108,,,,,39,,9,9,5
62,San Antonio,San Antonio,San Antonio,50603,Manuel Rodriguez  Hermanos Carrera,150.00 kVA,309,,1,2,2,98,,33,5,10
63,Bosquemar,Lilenes,Costa,20039,Costa Brava,300.00 kVA,179,,1,,,121,,21,22,10
64,Quintero,Loncura,Costa,22397,SED Chocota Av. Principal,75.00 kVA,122,,1,,,89,,19,5,7
65,El Melón,Nogales,Quillota,30197,Pob M Rodriguez,100.00 kVA,217,,,,,32,,12,1,3
66,San Rafael,Centenario,Los Andes,40076,Pucara Los Morenos,150.00 kVA,257,,,,,34,,9,,2
67,Quintero,Quintero,Costa,20302,V.Hermosa D.Godoy,150.00 kVA,197,,,1,,54,,16,5,1
68,San Rafael,Los Andes,Los Andes,40133,Yerbas Buenas Norte,150.00 kVA,209,,,1,,12,,3,,5
69,Quintero,Loncura,Costa,20648,Lomas de Ventana,75.00 kVA,245,,,,,40,,21,1,
70,Quintero,Quintero,Costa,20280,Riquelme Prat,150.00 kVA,265,,,,,70,,22,1,5
71,La Calera,La Cruz,Quillota,30188,Esmeralda Aconcagua,300.00 kVA,315,,,,,47,,24,4,2
72,Quintero,Loncura,Costa,20300,Villa Monaco  2,75.00 kVA,199,,1,,,35,,16,3,2
73,San Antonio,Pesqueras,San Antonio,50080,SED COOPERATIVA VISTA HERMOSA,100.00 kVA,113,,,,,38,,8,10,9
74,La Calera,La Cruz,Quillota,30132,Fresia Galvarino,150.00 kVA,341,,,1,1,42,,22,,4
75,San Rafael,Chacabuco,Los Andes,42176,Renacer Oriente,75.00 kVA,104,,,,,63,,8,1,4
76,Quintero,Loncura,Costa,20781,Villa Alto del Sol,150.00 kVA,205,,,,,28,,19,2,1
77,San Pedro,Olmué,Quillota,30586,Pob Carlos Condell,75.00 kVA,188,,,,,71,,11,,5
78,Quintero,Quintero,Costa,20287,Baquedano San Martin,150.00 kVA,157,,,,,61,,34,5,6
79,La Calera,La Cruz,Quillota,30129,Chañaral Unión,150.00 kVA,312,,1,,,64,,19,4,3
80,Bosquemar,Manatiales,Costa,20040,Concon,500.00 kVA,273,,,,,115,,14,4,10
81,San Rafael,El Almendral,Los Andes,40249,Lafon Miraflores,300.00 kVA,315,,3,,,45,,17,5,9
82,San Rafael,San Esteban,Los Andes,40864,Julio Montt Los Nogales,150.00 kVA,204,,,,,41,,13,1,2
83,Bosquemar,Manatiales,Costa,20192,Santa Margarita Tres,300.00 kVA,350,,,1,,87,,18,5,4
84,El Melón,Nogales,Quillota,30198,Pob El Poligono,100.00 kVA,246,,,,,33,,12,1,1
85,Las Vegas,Llay Llay,Los Andes,40391,Balmaceda_Arica,300.00 kVA,256,,,,,23,,9,2,2
86,Reñaca,Montemar,Costa,20801,Los Almendros 1,500.00 kVA,157,1,,,,84,,8,26,9
87,Quintero,Loncura,Costa,23017,Cmno Vecinal Codornices,75.00 kVA,106,,,,,162,,18,5,6
88,San Rafael,Los Andes,Los Andes,40419,Nueva Pocuro,150.00 kVA,179,,,,,67,,12,,2
89,La Calera,Hijuelas,Quillota,30218,La Champa Ocoa,45.00 kVA,143,,3,,,46,,16,,3
90,San Rafael,Los Andes,Los Andes,40956,LA PAMPILLA-ALCALDE MENESES,150.00 kVA,200,,,,,38,,8,1,2
91,Quintero,Maitenes,Costa,20806,SED Las Brisas Davila,75.00 kVA,207,,1,,,82,,12,2,9
92,San Rafael,Las Juntas,Los Andes,40065,Zenteno Nazareno,75.00 kVA,178,,,1,,51,,6,1,5
93,Quintero,Quintero,Costa,20805,Yungay Huaras,75.00 kVA,197,,,,,60,,23,2,6
94,San Antonio,San Antonio,San Antonio,50166,SED POBLACION OHIGGINS,75.00 kVA,102,,,,,99,,13,2,12
95,El Melón,Nogales,Quillota,30201,Pob Valdivia,75.00 kVA,193,,,,,21,,15,3,
96,San Antonio,Pesqueras,San Antonio,50079,SED Cooperativa Taller de Medidores,75.00 kVA,35,,,2,2,101,,16,8,40
97,Quintero,Maitenes,Costa,20840,D.Godoy El Mirador,150.00 kVA,184,,,,,39,,23,3,6
98,Catemu,Catemu,Los Andes,40732,Huidobro Perez Canto,75.00 kVA,120,,,,,13,,3,2,5
99,San Antonio,Pesqueras,San Antonio,50875,MAESTRANZA LIBERTAD,300.00 kVA,309,,,,,113,,42,5,1
100,San Sebastián,Cartagena,San Antonio,50476,Vicente Huidobro Ventisquero,100.00 kVA,211,,,,,43,,13,,4
101,Quintero,Loncura,Costa,21341,Los Castaños F-30,75.00 kVA,173,,,,,55,,14,2,3
102,Quintero,Loncura,Costa,20260,La Union El Sauce,100.00 kVA,160,,,,,39,,23,,2
103,Quintero,Loncura,Costa,20784,El Medano Alfa,75.00 kVA,136,,,,,63,,18,2,4
104,San Antonio,Barrancas,San Antonio,50357,Aromos Los Papayos,150.00 kVA,134,,,1,,36,,11,5,3
105,El Melón,Pataguas,Quillota,30194,San José Condell,75.00 kVA,177,1,,,,61,,6,2,4
106,Quintero,Quintero,Costa,20299,V.Mackenna Hnos.Carrera,150.00 kVA,152,,2,1,,53,,24,5,7
107,San Antonio,Aguas Buenas,San Antonio,50156,Del Centenario Garcia Huidobro,150.00 kVA,238,,1,1,1,136,,27,3,12
108,San Sebastián,Cartagena,San Antonio,50829,LAS ACACIAS SANTIAGO LOVELUCK,75.00 kVA,121,,1,,,52,,11,2,9
109,El Melón,Pataguas,Quillota,30987,Plumer Los Cañamos,75.00 kVA,127,,,2,2,34,,9,6,3
110,San Antonio,Pesqueras,San Antonio,50883,SIR FRANCIS DRAKE,100.00 kVA,101,,,,,77,,15,1,11
111,San Sebastián,Cartagena,San Antonio,51083,LAS ROSAS M RODRIGUEZ,75.00 kVA,180,,1,,,15,,6,2,6
112,Panquehue,Panquehue,Los Andes,40350,San Roque,75.00 kVA,65,,,1,1,9,,2,,6
113,Peñablanca,El Pangal,Quillota,30708,Villa Queronque 2,300.00 kVA,548,,,,,43,,7,2,2
114,La Calera,Calera,Quillota,30164,Adrian C Herriquez,150.00 kVA,181,,,1,1,74,,25,3,7
115,San Felipe,Palomar,Los Andes,40425,El Escorial,75.00 kVA,128,,,,,29,,7,,1
116,San Sebastián,Cartagena,San Antonio,50064,Villa Chile,75.00 kVA,189,,,,,37,,22,2,
117,Quintero,Loncura,Costa,20777,Aldunate Villa Pudahuel,100.00 kVA,136,,,,,34,,18,4,2
118,San Rafael,Chacabuco,Los Andes,42177,Renacer Poniente,75.00 kVA,97,,1,,,22,,6,2,3
119,El Melón,Nogales,Quillota,30903,Poligono Los Pajaritos,100.00 kVA,153,,,,,32,,6,3,4
120,Mayaca,Boco,Quillota,30080,El Bajio Chacabuco,150.00 kVA,344,,2,,,53,,29,1,7
121,San Felipe,Bucalemu,Los Andes,40445,Dardignac Calle 1,150.00 kVA,295,,,1,1,93,,25,,8
122,Catemu,Catemu,Los Andes,40050,Asentamiento El Arrayan,100.00 kVA,105,,,,,49,,3,1,6
123,San Sebastián,Cartagena,San Antonio,50508,El Ensueño,150.00 kVA,368,,,,,27,,11,1,
124,Mayaca,Pocochay,Quillota,31914,Cond Genova Milan,150.00 kVA,216,,,,,21,,13,2,1
125,Playa Ancha,Tomás Ramos,valparaiso,10010,Almirante Rivero Ayudante Avila,300.00 kVA,578,,1,2,2,211,,31,7,15
126,Las Vegas,Llay Llay,Los Andes,42087,Población Morande,150.00 kVA,151,,,,,24,,13,4,2
127,San Rafael,Centenario,Los Andes,40126,Bejares_Callejon Brito,100.00 kVA,118,,,1,,43,,11,,4
128,Bosquemar,Manatiales,Costa,20109,Los Romeros 1,150.00 kVA,289,1,1,,,118,,19,4,4
129,Panquehue,Panquehue,Los Andes,40343,Panquehue,75.00 kVA,69,,,,,21,,8,,3
130,Las Vegas,Llay Llay,Los Andes,40396,Edward Latorre,150.00 kVA,135,,,,,43,,14,,5
131,San Sebastián,Cartagena,San Antonio,50722,SED EJERCITO SANTIAGO,100.00 kVA,203,,1,,,36,,14,1,2
132,Panquehue,Panquehue,Los Andes,42788,Esperanza del Halcon_Calle 2_Pje. 2,100.00 kVA,96,,,,,6,,3,3,1
133,San Sebastián,Cartagena,San Antonio,50564,SED EJERCITO ATACAMA,100.00 kVA,138,,,,,48,,18,1,4
134,La Calera,Hijuelas,Quillota,30173,Conchali Panamericana,75.00 kVA,95,,,1,1,30,,3,3,7
135,Catemu,Catemu,Los Andes,40695,Riquelme_Carrera,75.00 kVA,136,,,2,2,33,,7,,3
136,San Rafael,Chacabuco,Los Andes,42437,Las Nuñez_El Esfuerzo,75.00 kVA,78,,,,,14,,3,,6
137,San Antonio,San Antonio,San Antonio,50753,12 de Febrero  Bulnes,75.00 kVA,136,,,,,42,,25,2,1
138,Quintero,Maitenes,Costa,20263,Los Alamos Los Acacios,150.00 kVA,202,,1,,,62,,19,2,4
139,Quintero,Loncura,Costa,20780,SED Lagunillas Ventanas,75.00 kVA,72,,,,,102,,9,1,14
140,San Rafael,Chacabuco,Los Andes,42373,San Martín_Condominio Patagual,100.00 kVA,95,,,,,37,,6,1,3
141,San Felipe,Putaendo,Los Andes,40297,San Martin_Alameda,300.00 kVA,169,,,,,32,,13,,1
142,San Felipe,Putaendo,Los Andes,40269,Ortiz_Central,75.00 kVA,84,,1,,,47,,17,3,3
143,San Antonio,Llolleo,San Antonio,50312,Poblacion General Baquedano,150.00 kVA,338,1,,,,49,,16,3,6
144,San Rafael,Chacabuco,Los Andes,42308,Sol del Valle_Castro,100.00 kVA,123,,1,,,29,,9,1,3
145,La Calera,Hijuelas,Quillota,30176,Rodriguez Los Naranjos,75.00 kVA,124,,,,,42,,6,5,2
146,Las Vegas,Santa Teresa,Los Andes,42002,Loteo El Salitre Llay Llay,150.00 kVA,183,,,,,32,,11,,3
147,San Sebastián,Cartagena,San Antonio,50466,Ex Fundo Lo Silva 1,75.00 kVA,149,,,,,33,,13,3,3
148,Catemu,Catemu,Los Andes,40433,Asentamiento San José,75.00 kVA,121,,,,,19,,7,2,2
149,Quintero,Maitenes,Costa,20273,11 de Septiembre Los Pinos,150.00 kVA,152,,,,,76,,24,1,6
150,La Calera,La Cruz,Quillota,30730,M Rodriguez Aconcagua,150.00 kVA,268,,,,,34,,20,,3
151,Quintero,Maitenes,Costa,20816,Normandie Salas,150.00 kVA,229,,,,,11,,5,6,4
152,San Antonio,Pesqueras,San Antonio,50131,Antofagasta Republica,150.00 kVA,135,,,,,16,,9,3,5
153,San Sebastián,Cartagena,San Antonio,50751,Almirante Latorre  Balmaceda,150.00 kVA,130,,,2,2,56,,19,,4
154,San Rafael,Chacabuco,Los Andes,42384,El Renacer IV Etapa,100.00 kVA,126,,,,,20,,3,,3
155,Quintero,Maitenes,Costa,20808,Las Brisas 2,75.00 kVA,91,,,,,60,,8,2,9
156,La Calera,Artificio,Quillota,30139,Marathon Melbourne,150.00 kVA,281,,,,,30,,20,2,1
157,San Rafael,Chacabuco,Los Andes,40873,Loteo Comite Casuto,75.00 kVA,75,,,,,24,,4,2,4
158,El Melón,Nogales,Quillota,30447,Poblacion Estacion Nogales,150.00 kVA,176,,,1,1,11,,2,6,1
159,San Antonio,Las Brisas,San Antonio,50266,Cooperativa Rio Maipo 2,75.00 kVA,65,,,,,81,,1,11,8
160,Quintero,Maitenes,Costa,20290,SED Brisas del Mar Los Gladiolos,150.00 kVA,220,,3,,,40,,20,3,1
161,San Rafael,Las Juntas,Los Andes,40808,Las Camelias Chaparrina,75.00 kVA,173,,,,,16,,7,2,2
162,San Antonio,Barrancas,San Antonio,50215,Providencia Casanova,300.00 kVA,330,,,1,,93,,18,1,6
163,Bosquemar,Manatiales,Costa,20202,Tierra del Fuego Rio de Oro,300.00 kVA,260,,,,,81,,22,,5
164,Las Vegas,Santa Teresa,Los Andes,42306,El Amanecer 1,150.00 kVA,148,,,,,21,,14,,3
165,San Sebastián,Cartagena,San Antonio,50060,Poblacion Arellano,150.00 kVA,139,,,1,,31,,7,,7
166,San Felipe,Putaendo,Los Andes,42184,Las Coimas_El Cerro,100.00 kVA,79,,,,,44,,5,1,8
167,El Melón,Pataguas,Quillota,30199,O Higgins,75.00 kVA,91,,,,,64,,10,2,6
168,Quintero,Loncura,Costa,20277,Pueblo Ventanas,150.00 kVA,113,,,,,27,,18,3,2
169,La Calera,Hijuelas,Quillota,30178,M Rodriguez 4 Esquinas,150.00 kVA,105,,,1,1,39,,16,1,2
170,Bosquemar,Manatiales,Costa,20655,Serviu Concon Sur,150.00 kVA,328,1,,,,59,,16,2,3
171,San Pedro,Said,Quillota,30456,Calle 4 Alberdi,150.00 kVA,391,,1,,,64,,20,2,4
172,San Sebastián,Cartagena,San Antonio,50071,Alcalde Cartagena,150.00 kVA,191,,,,,36,,14,,2
173,Catemu,Catemu,Los Andes,40353,Las Vertientes El Alambre,150.00 kVA,119,,,,,16,,4,,4
174,La Calera,Hijuelas,Quillota,30141,Alessandri P A Cerda,150.00 kVA,327,,,1,,27,,17,1,1
175,San Rafael,San Esteban,Los Andes,40541,Poblacion Rotonda,300.00 kVA,513,,,1,,40,,12,1,2
176,El Melón,Pataguas,Quillota,31106,Union El Runge,100.00 kVA,258,,,,,20,,4,2,1
177,San Felipe,San Felipe,Los Andes,40259,Circunvalacion Gmo. Morales,150.00 kVA,254,,,1,1,68,,23,3,5
178,Quintero,Loncura,Costa,21424,La Zanja La Greda,30.00 kVA,65,,,,,65,,19,4,8
179,Las Vegas,Llay Llay,Los Andes,40394,Pobl. El Paraiso,75.00 kVA,95,,,,,20,,10,3,6
180,San Antonio,Pesqueras,San Antonio,50132,Antofagasta Pudeto,300.00 kVA,329,,,,,46,,19,7,1
181,Las Vegas,Santa Teresa,Los Andes,42086,Pob. Las Palmas_Llayllay,75.00 kVA,179,,,2,1,42,,9,,3
182,La Calera,La Cruz,Quillota,30147,Aldunate Teresa,300.00 kVA,211,,,3,3,51,,14,2,5
183,San Antonio,Barrancas,San Antonio,50242,Bellavista Las Garzas,150.00 kVA,109,,,1,,12,,5,,7
184,Catemu,Catemu,Los Andes,42658,Municipalidad Catemu,100.00 kVA,73,,,,,28,,8,1,5
185,San Pedro,Limache,Quillota,30260,Pedro de Valdivia Condell,300.00 kVA,271,,,1,1,46,,14,1,3
186,San Sebastián,Cartagena,San Antonio,50467,Ex Fundo Lo Silva 2,75.00 kVA,182,,1,1,,30,,14,,2
187,San Rafael,El Almendral,Los Andes,40604,Av. 2 Hnos Carrera,150.00 kVA,309,,1,,,62,,18,4,3
188,Las Vegas,Llay Llay,Los Andes,42178,Almirante Latorre_Las Palmeras,100.00 kVA,186,,,1,1,15,,10,2,1
189,La Calera,Hijuelas,Quillota,30168,J J Nuñez 3 Esquinas,75.00 kVA,168,,1,1,1,20,,3,1,3
190,San Sebastián,Cartagena,San Antonio,50065,Cataluña,75.00 kVA,200,,,,,39,,9,,3
191,Las Vegas,Llay Llay,Los Andes,40395,Ucuquer Inducorn,150.00 kVA,165,,,,,25,,19,,
192,La Calera,La Cruz,Quillota,30150,Carrera Huici,300.00 kVA,243,,,,,60,,11,1,5
193,Catemu,Catemu,Los Andes,40366,Cerro Catemu,75.00 kVA,81,,1,1,,31,,13,,3
194,Las Vegas,Llay Llay,Los Andes,42210,I Carrera Pinto Lautaro,75.00 kVA,156,,,1,1,28,,7,2,3
195,San Pedro,Lliu Lliu,Quillota,30279,A Bello Independencia,150.00 kVA,244,,,,,21,,10,1,5
196,San Felipe,Putaendo,Los Andes,40902,Algarrobal_Socrates,75.00 kVA,124,,,,,47,,7,1,3
197,San Antonio,Pesqueras,San Antonio,51374,SED LOS ALMENDROS LAS HIGUERAS,75.00 kVA,72,,,,,67,,43,,2
198,Bosquemar,Manatiales,Costa,20973,J.Yañez Calle 4,150.00 kVA,299,,1,1,1,37,,9,1,6
199,Quintero,Loncura,Costa,21309,Consulado Los Pinguinos,45.00 kVA,141,,,,,59,,9,2,3
200,El Melón,Pataguas,Quillota,30193,Prat I Brown,75.00 kVA,175,,,,,31,,9,,2
201,Quintero,Quintero,Costa,22672,Chimbote 1° de Marzo,150.00 kVA,209,,,,,35,,17,5,
202,San Rafael,Centenario,Los Andes,43260,POb. Horizonte_Pje. Luis Frias,75.00 kVA,126,,1,,,22,,11,1,1
203,San Felipe,Tocornal,Los Andes,40887,San Martin_Ohiggins,100.00 kVA,123,,,,,11,,2,2,5
204,San Felipe,San Felipe,Los Andes,40257,Luis Gajardo Pasaje 9,150.00 kVA,365,,1,,,45,,18,2,2
205,San Rafael,Centenario,Los Andes,40125,Arturo Prat Corvi,150.00 kVA,273,,1,,,36,1,17,1,5
206,La Calera,Calera,Quillota,30166,JJ Nuñez Las Acacias,150.00 kVA,171,,,1,1,46,,11,,9
207,San Pedro,Limache,Quillota,30891,Quinta El Palacio,150.00 kVA,199,,1,2,2,52,,10,5,4
208,Quilpué,Villa Alemana,Marga Marga,20550,Huanhualy Traslaviña,300.00 kVA,412,1,,,,79,,13,5,6
209,Panquehue,Panquehue,Los Andes,40776,La Pirca Estadio,75.00 kVA,97,,,,,9,,3,,2
210,La Calera,Hijuelas,Quillota,30214,M Rodriguez Pta Torrejon,75.00 kVA,136,,,1,1,23,,8,1,2
211,Quintero,Loncura,Costa,20305,Valle Alegre,30.00 kVA,87,,,,,56,,2,1,10
212,Quintero,Loncura,Costa,20274,SED Poblacion Horcon,300.00 kVA,128,1,,,,32,,9,1,4
213,San Rafael,Las Juntas,Los Andes,40034,San Esteban,150.00 kVA,125,,1,2,2,16,,6,1,4
214,Mayaca,Prat,Quillota,30012,Pob Mexico Alberdi,150.00 kVA,311,,1,1,1,67,,30,3,1
215,San Rafael,Los Andes,Los Andes,40901,Hormazabal - Sainz,150.00 kVA,345,,,,,60,,8,3,4
216,San Felipe,San Felipe,Los Andes,40685,Villa San Camilo,150.00 kVA,340,,,,,40,,13,2,4
217,Mayaca,Pocochay,Quillota,30102,Sta Cruz Pisagua,150.00 kVA,230,,,,,10,,6,2,1
218,Panquehue,Panquehue,Los Andes,42688,Encon_Av. Alcalde Ahumada,45.00 kVA,50,,,,,10,,5,,4
219,El Melón,Nogales,Quillota,20726,Pucalan # 1,45.00 kVA,88,,,,,75,,9,3,6
220,San Pedro,Pachacama,Quillota,30230,Ocoa Villa Prat,75.00 kVA,150,,,,,21,,7,2,1
221,San Pedro,Said,Quillota,30376,Pob El Atardecer,150.00 kVA,437,,,,,44,,19,1,2
222,San Rafael,San Esteban,Los Andes,40067,San Esteban La Union,150.00 kVA,219,,1,,,25,,8,,1
223,El Melón,Pataguas,Quillota,30737,Pob El Carmen,45.00 kVA,114,,,,,19,,9,,4
224,San Antonio,Llolleo,San Antonio,50333,Presidente Perez,150.00 kVA,269,,,2,1,93,,22,2,4
225,San Sebastián,Cartagena,San Antonio,50066,SED CARTAGENA SANTIAGO,150.00 kVA,159,,,1,1,45,,9,1,3
226,La Calera,Calera,Quillota,30144,Principal Las Cabritas 1,75.00 kVA,147,,,,,15,,9,1,1
227,San Antonio,San Juan,San Antonio,50610,SED EL CONVENTO SANTO DOMINGO 2,75.00 kVA,47,,,1,1,54,,14,4,10
228,San Antonio,Barrancas,San Antonio,50244,Edificio Mirador del Gringo,150.00 kVA,94,,,1,,25,,14,3,2
229,San Rafael,San Esteban,Los Andes,40099,Pobl. El Mirador,150.00 kVA,224,,,,,74,,12,4,6
230,San Felipe,San Felipe,Los Andes,40256,A. Ahumada Circunv. Norte,150.00 kVA,283,1,,1,1,39,,22,4,1
231,San Antonio,San Antonio,San Antonio,50160,Av Centenario Lauro Barros,300.00 kVA,251,,,1,1,63,,19,6,3
232,Panquehue,Panquehue,Los Andes,43170,Las Chilcas APR,150.00 kVA,101,,,,,8,,5,,1
233,San Rafael,Centenario,Los Andes,40891,Humeres Jose ramirez,150.00 kVA,222,,,,,38,,14,,8
234,San Rafael,Centenario,Los Andes,40769,Calle 13 Octavio Arellano,300.00 kVA,272,,,1,,65,,12,2,5
235,San Felipe,Putaendo,Los Andes,40291,San Antonio 1,75.00 kVA,103,,,,,45,,4,,5
236,Quintero,Quintero,Costa,20275,Portales Miraflores,150.00 kVA,144,,,,,53,,26,,3
237,Quintero,Maitenes,Costa,20839,Condell Salas,75.00 kVA,129,,,,,42,,19,4,4
238,Quintero,Quintero,Costa,21485,SED OHiggins Magallanes,100.00 kVA,114,,,,,55,,27,1,5
